dates,X1_WLD,X2_SDGs,X3_JBear, X4_Jbull,X5_UBear,X6_UBull, X7_FinS,X8_TchS, X9_tEngS, X10_lifeTFS,X11_EnyS,X12_msfWIDX
2010/01/04,4077.93,6608,11681,1131,1879452.75,425.36,1598.81,76.66,997.75,3269.74,3408.44,9306
2010/01/05,4050.58,6666,11627,1142,1844192.25,424.93,1582.5,74.7,989.98,3249.26,3449.82,9301
2010/01/06,4106.29,6596,11606,1146,1852219,430.49,1590.78,75.24,1003.25,3261.01,3562.17,9210
2010/01/07,4137.97,6662,11616,1144,1850310,440.15,1596.13,76.74,1054.12,3263.27,3592.22,9308
2010/01/08,4130.75,6714,11497,1167,1815369.5,441.16,1549.61,75.48,1043.58,3147.41,3685.88,9366
2010/01/12,4027.97,6715,11412,1175,1830172.13,422.75,1485.09,77.08,1009.5,3111.41,3148.76,9348
2010/01/13,4071.42,6600,11591,1138,1787816.88,435.02,1448.53,76.76,1006.2,3388.74,3205.96,9259
2010/01/19,4077.09,6620,11545,1146,1764913.5,437.81,1514.09,76.88,1025.2,3548.07,3233.39,9201
2010/01/20,3995.91,6677,11603,1136,1813984.48,425.04,1446.59,74.76,991.45,3323.69,2932.4,9185
2010/01/21,3874.88,6616,11462,1163,1898319.38,398.88,1392.93,73.36,953.34,3277,3042.74,9144
2010/01/22,3770.11,6468,11727,1110,2010393.75,370.18,1394.47,72.77,938.93,3226.51,3050.41,9036
2010/01/25,3822.96,6378,11818,1093,1993761,377.96,1417.79,73.19,975.63,3136.67,3199.96,9022
2010/01/26,3771.58,6383,12011,1058,2005918.75,369.36,1380.61,72.56,941.33,3145.82,3274.91,9080
2010/01/27,3771.54,6310,12095,1043,1983838.5,376.07,1385.54,70.83,949.18,3265.01,3287.5,8963
2010/01/28,3708.33,6335,11920,1074,2049456.75,361.85,1391.75,71.3,946.39,3355.45,3391.37,9002
2010/01/29,3691.96,6238,12223,1020,2130844,350.33,1378.73,71.44,967.91,3298.29,3262.18,8907
2010/02/01,3786.51,6239,12187,1026,2044369,369.39,1434.01,71.76,1003.81,3261.01,3237.41,8959
2010/02/03,3817.38,6370,11916,1073,1998443.88,378.1,1417.88,72.2,985.25,3334.75,3302.94,9019
2010/02/04,3620.78,6347,11999,1058,2148248.3,336.96,1355,69.82,925.98,4224.1,4827.41,9009
2010/02/05,3583.08,6116,12334,999,2129012.25,338.14,1322.24,70.02,924.32,4193.34,4923.16,8836
2010/02/08,3560.28,6016,12459,979,2179442.75,331.04,1342.02,69.97,919.96,4175.07,4866.6,8804
2010/02/09,3661.06,5995,12485,975,2109647.25,345.81,1376.04,70.32,958.38,4282.62,5111.66,8781
2010/02/10,3645.36,6084,12426,985,2122112,343.49,1359.59,71.86,951.35,4237.93,5163.21,8896
2010/02/12,3671.35,6109,12290,1006,2054004.75,355.26,1388.67,77.3,947.97,4250.56,5291.17,8827
2010/02/16,3759.82,6113,12388,990,1961809.38,373.64,1375.41,79.5,974.7,4350.95,5449.3,8838
2010/02/17,3808.97,6216,12055,1044,1947973.5,382.54,1395.35,81.25,994.59,4436.51,5579.56,8929
2010/02/18,3868.68,6271,12010,1052,1930430.25,393.67,1412.81,79.78,1003.5,4536.45,5570.31,8926
2010/02/19,3841.02,6304,12232,1013,1909753.25,394.54,1364.86,80.74,995.04,4505.6,5563.8,8944
2010/02/22,3833.34,6351,11955,1059,1906402.13,392.46,1365.4,81.14,974.76,4390.09,5538.26,8988
2010/02/23,3718.61,6313,11978,1055,1955561.88,374.21,1352.55,80.5,962.11,4478.74,5309.21,8925
2010/02/24,3755.16,6187,12153,1024,1902861.75,383.73,1351.64,79.87,980.55,4369.13,5202.51,8833
2010/02/25,3705.95,6200,12272,1004,1885346.25,378.63,1327,78.07,951.94,4400.7,5225.84,8841
2010/02/26,3712.36,6120,12272,1004,1873298.75,378,1346.55,77.98,956.99,4337.6,5193.21,8776
2010/03/02,3770.06,6204,12115,1030,1792044.38,393.25,1429.2,75.95,970.26,4387.01,5458.47,8767
2010/03/03,3775.67,6227,12116,1030,1784383.88,393.43,1401.81,73.09,958.76,4354.3,5429.13,8744
2010/03/04,3807.52,6233,12222,1012,1781570.25,399.57,1368.17,75.06,987.33,4336.42,5389.75,8752
2010/03/05,3923.97,6268,11945,1058,1724921,421.75,1437.74,73.31,996.12,4469.44,5563.1,8800
2010/03/08,3928.49,6410,11701,1101,1722663.25,421.75,1446.77,69.69,993.41,4509.18,5543.23,8923
2010/03/09,3915,6381,11727,1097,1708987.5,423,1429.2,70.09,999,4520.7,5488.2,8875
2010/03/10,3954.85,6374,11708,1100,1691331.88,430.78,1444.38,72.1,1002.74,4562.11,5461.68,8858
2010/03/11,3969.97,6433,11608,1119,1676446.5,437.08,1456.32,73.39,1015.62,4610.17,5434.45,8909
2010/03/12,3972.4,6467,11532,1134,1671016.5,437.45,1457.27,75.65,1035.22,4542.99,5778.37,8936
2010/03/15,3945.61,6482,11543,1132,1667717.63,435.39,1423.6,77.18,1049.63,4511.08,5635.69,8991
2010/03/16,3989.43,6425,11543,1132,1624631,447.08,1414.41,80.01,1064.87,4471.74,5693.77,8907
2010/03/17,4011.03,6492,11424,1155,1595913,455.72,1435.87,81.04,1075.09,4518.29,5597.9,8983
2010/03/18,3998.75,6502,11519,1136,1602804.13,453.35,1451.46,80.42,1067.78,4511.83,5389.58,8980
2010/03/19,3971.08,6503,11455,1149,1629720,446.36,1439.59,81.26,1043.93,4516.14,5289.35,8940
2010/03/23,4011.94,6464,11487,1142,1564266,453.91,1444.91,81.83,1070.57,4597.86,5347.44,8891
2010/03/24,4049.36,6511,11466,1146,1612475.25,454.53,1462.96,82.66,1071,4667.67,5546.36,8888
2010/03/25,4059.73,6570,11434,1153,1635644.5,454.37,1447.33,81.53,1078.09,4664.02,5408.04,8941
2010/03/26,4075.02,6622,11265,1187,1634311.13,454.32,1461.97,82.8,1089.08,4627.43,5491.66,8970
2010/03/29,4108.51,6628,11172,1207,1602505.13,462.15,1466.86,82.17,1102.69,4668.64,5566.13,9029
2010/03/31,4161.28,6714,11092,1224,1634556.63,463.61,1532.91,83.78,1102.95,4808.1,5680.17,9099
2010/04/01,4224.86,6756,10964,1253,1604125.75,475.26,1567.33,84.91,1145.5,4852.92,5467.85,9196
